Player Name	Adventurer Name	Adventurer URL	Spirit Core (Current)	Race	Sub-Race	Tier 1 Class	Tier 2 Class	Tier 3 Class	Exepdition Departure	Expedition Return	IP Lockout End
AShyMoth	Nia Prys	https://docs.google.com/spreadsheets/d/1qb04pLDsZNuq50Sq-tDp2sUJpRIi5afb/edit?usp=sharing&ouid=106887388069059291818&rtpof=true&sd=true		1500	Chimera	Phoenix	Mage	Onmyoji, Pyromancer	4/12/2025	4/28/2025	4/29/2025
Sabbrewolf	Ash Avernus	https://docs.google.com/spreadsheets/d/1ojX3sOukLoDXhOyUPabbprUQRNBciDra/edit?usp=sharing&ouid=108812373200107551665&rtpof=true&sd=true		1740	Fae	Salamander	Fighter, Blacksmith	Forgemaster	4/12/2025	4/28/2025	4/29/2025
Teraval	Teraval Pinecone	https://docs.google.com/spreadsheets/d/1OAo0nb-a4Gi-oCY4gYOWqhOUsuPYArMs/edit?usp=sharing&ouid=102568176268617888070&rtpof=true&sd=true		1515	Fae	Pixie	Acolyte	Faerie Light Eyes, Priest	4/10/2025	5/6/2025	5/6/2025
Wizard of Poop	Woop	https://docs.google.com/spreadsheets/d/1lnh239BRRX4YFt2ltThsAPHjQSAIPQSH/edit?usp=sharing&ouid=112716252140882953803&rtpof=true&sd=true		1325	Human	Light	Mage, Ranger, Acolyte	​			
Beetle Swallower	Beetle Swallower	https://docs.google.com/spreadsheets/d/12kjQvC2vCo7Zym4zb8uU9zkZJ1916ejj/edit?usp=sharing&ouid=112970099103478293972&rtpof=true&sd=true		1450	Human	Divine Protection	​	Curse Knight, Necromancer, Summoner	4/12/2025	4/19/2025	
UnluckySloth	Marcus Wi Dalen	https://docs.google.com/spreadsheets/d/1yKhTGvSvMDE569LG621mA91FMUXz2L7z/edit?usp=sharing&ouid=117534912672684778244&rtpof=true&sd=true		1265	Demon	Wi	Ranger, Rogue	Saboteur			
Jay Spicer (Jack)	Jack	https://docs.google.com/spreadsheets/d/1W9Recbod6VIKgXjvor54IdeV65mzblbx/edit?usp=sharing&ouid=101021334597903651840&rtpof=true&sd=true		1390	Demon	Lir	Ranger, Rogue, Martial Artist	​	4/3/2025	4/16/2025	4/21/2025
GreenWold1337	Jerrick Blackoak	https://docs.google.com/spreadsheets/d/1FY9_gdEY2so2qChvEg3j8zfUmL_aNPjD/edit?usp=sharing&ouid=113867861088983561172&rtpof=true&sd=true		1000	Chimera	Wolf-folk	Fighter	Sword Paladin			
"""Don"" Bon Hopkins"	"""Don"" Bon Hopkins"	https://docs.google.com/spreadsheets/d/1JnCGIzLzcO-iQEmMhHdfxNwKGZWWiHA5pp4g-tAlCsg/edit?usp=sharing		1280	Chimera	Rabbitfolk	Fighter	​	4/3/2025	4/16/2025	4/21/2025
Vera V, Vermouth	Vera Vermillion Vermouth	https://docs.google.com/spreadsheets/d/13Gl7ritslRWhT0enMcVx5_0VMOg4Zoiv/edit?gid=1997331408#gid=1997331408		1000	Fae	Pixie	Rogue	Faerie Light Eyes			
Cali Bell (Feyrod)	Calia Bell	https://docs.google.com/spreadsheets/d/1A8Wul_z_SDW3CpBbmSC1cjWYWqWy3SC2/edit?usp=drivesdk&ouid=118431694302210274652&rtpof=true&sd=true		1000	Chimera	Rabbitfolk	Mage, Martial Artist, Rogue	​	4/10/2025	5/6/2025	5/6/2025
Vim N Vigor	Pádraigín	https://docs.google.com/spreadsheets/d/1GqFLGCo-NuRpn5bmwd_AXZ96fcmmes8K/edit?usp=sharing&ouid=109138423568570624496&rtpof=true&sd=true		1300	Fae	Gnome	Rogue	Chronomancer			
Drogan Helmut	Drogan Helmut	https://docs.google.com/spreadsheets/d/1-QS3C7LX-UCZivvptGanaj1yh27QjlIy/edit?usp=sharing&ouid=104161008957320152258&rtpof=true&sd=true		1500	Fae	Dullahan	Fighter	​	5/1/2025	5/15/2025	5/20/2025
Gein Hemlocke	Gein Hemlock	https://docs.google.com/spreadsheets/d/1CZ51ihYgL3y_LOLqF4hJ5gCur51is2ne/edit?gid=1997331408#gid=1997331408		1545	Chimera	Slimefolk	Fighter	Lancer	4/12/2025	4/19/2025	
Evenfall (Charre)	Evenfall	https://docs.google.com/spreadsheets/d/1yrDfMcsEzIFWPxEs7zTKxhub-lgLK45A/edit?usp=sharing&ouid=105313069251360998695&rtpof=true&sd=true		1465	Fae	Willo Wisp	Rogue	Faerie Light Eyes	5/1/2025	5/15/2025	5/20/2025
Ruofei (Ando)	Ruofei	https://docs.google.com/spreadsheets/d/1kUKpaOaprz06bKnSEQLCwPT_DBkZp3qp/edit?usp=sharing&ouid=101529830063024907324&rtpof=true&sd=true		1000	Chimera	Red Pandafolk	Martial Artist	Gunslinger			
Florentino	Voltaire Schild	https://docs.google.com/spreadsheets/d/136ADhP8CtKerL8ZrwP_lDUcAxfbQmG6K/edit?gid=1997331408#gid=1997331408		1100	Human	Divine Protection	Acolyte, Fighter	Shield Paladin	4/10/2025	5/6/2025	5/6/2025
Ekkehard Adalwolf (Volki)	Ekkehard Adalwolf	https://docs.google.com/spreadsheets/d/1wW4hlXMfdCK_HZak2GiCpHRfPjsr7kqS0V72bK2x45M/edit?usp=sharing		1195	Chimera	Wolf-folk	Fighter	Guardian	4/3/2025	4/16/2025	4/21/2025
Iru Alfo (Moleren)	Iru Alfo	https://docs.google.com/spreadsheets/d/1_js6-IAvFu_YU0HuvDs4uzQcitRMRXe0/edit?gid=1997331408#gid=1997331408		1690	Youkai	Ancient Marionette	Fighter, Martial Artist, Ranger	​	5/2/2025	5/28/2025	6/3/2025
Buntaoo	Fuyuka Shimo	https://docs.google.com/spreadsheets/d/10Y8V6htFcTfB376VMgNmkd46xQgKCRxZ/edit?usp=sharing&ouid=101088453070518972549&rtpof=true&sd=true		1925	Youkai	Yuki-onna	Acolyte	Cryomancer, Geomancer	5/2/2025	5/28/2025	6/3/2025
Zero Terminus (Rue)	Zero Terminus	https://docs.google.com/spreadsheets/d/1mOHejPVdEomUUHq04856H2kMwbiwHIRx/edit?usp=sharing&ouid=102703316609933324765&rtpof=true&sd=true		1665	Human-Chimera	Phoenix	Ranger, Rogue	Animal Summoner	3/31/2025	4/8/2025	4/15/2025
Phantomxz	Sarah	https://docs.google.com/spreadsheets/d/1u0vbL_gKOOCWjTkPmgZz4hxK5EW5B5t7/edit?gid=1997331408#gid=1997331408		1265	Chimera	Centaur	Martial Artist, Rogue, Cavalier	​	4/8/2025	4/22/2025	4/29/2025
Kita Ro-Ro (Azorinth)	Kita Ro-Ro	https://docs.google.com/spreadsheets/d/1u5sb8Qo2yhtxmKVSfUXGllXKyTENJVsO/edit?usp=sharing&ouid=111118343248048018516&rtpof=true&sd=true		1000	Chimera	Dogfolk	Fighter	Guardian			
Shinraku	Shinraku	https://docs.google.com/spreadsheets/d/12uEV4okV3oKZGX_fDZ_obfk32z_GxP0v/edit?gid=1997331408#gid=1997331408		1245	Youkai	Oni	Alchemist	Alchemeister	4/2/2025	4/7/2025	4/8/2025
Rai (Alkavi)	Rai	https://docs.google.com/spreadsheets/d/1hR86tlPUVYx_Mk1ol1tXb2duFE-L9wv7/edit?usp=sharing&ouid=104187462070454197980&rtpof=true&sd=true		1625	Youkai	Raijin	Blacksmith, Fighter, Rogue	Forgemaster	4/10/2025	5/6/2025	
Susie	Susie	https://docs.google.com/spreadsheets/d/12F862V_Pq84OV3fXpZ3L2P2YM8im5aR9/edit?usp=sharing&ouid=101100012439895691789&rtpof=true&sd=true		1390	Youkai	Jiangshi	Alchemist	Necromancer	4/17/2025	5/1/2025	5/6/2025
Elise (MyMemories3)	Elise Tamrei	https://docs.google.com/spreadsheets/d/1lbqYOOqu3prZRpoZr5XBjEqu0kHpegcv/edit?gid=1997331408#gid=1997331408		2020	Fae	Gnome	Mage	Faerie Light Eyes	5/2/2025	5/28/2025	6/3/2025
Draig	Draig	https://docs.google.com/spreadsheets/d/e/2PACX-1vRVZL1dBAIvyb5IqLj09Cqm3aQcIQsVpwPgEzMAjsqZT2VTjD2ZGBMjUeB5Qx4dIw/pubhtml		1420	Human-Chimera	Phoenix	Rogue	Ninja	4/12/2025	4/19/2025	
Icarus	Icarus	https://docs.google.com/spreadsheets/d/1Y0aTSQFeYDxXP_UHadCVMSj2zp8JRh-k9bu7y2Cv9gk/edit?gid=1910447226#gid=1910447226		1640	Human	Divine Protection	​	Bard, Shieldwarden	5/1/2025	5/15/2025	5/20/2025
Dogbert Wallmann	Dogbert Wallmann	https://docs.google.com/spreadsheets/d/1_aykjnSfgBQ2DFp5BtEkd6myvMeq3fgX/edit?gid=1997331408#gid=1997331408		1685	Human-Chimera	Dogfolk	Fighter	Shield Paladin	4/17/2025	5/1/2025	5/6/2025
Avolthe Ar'Wrynfel (Dylons)	Avolthe Ar'Wrynfel	https://docs.google.com/spreadsheets/d/1HQkXn3-rf7ZOz1YZS9zygvwuJVMoxYzY/edit?usp=sharing&ouid=102484866447289889657&rtpof=true&sd=true		1930	Demon	Ar	Mage	Bard			
Turos Kensei	Leo Barrak	https://docs.google.com/spreadsheets/d/1lxtT1QTmiwZNfoa37l8F3AZASLov5hLn/edit?usp=sharing&ouid=113351362468564061511&rtpof=true&sd=true		1370	Human	Divine Protection	Acolyte, Adventurer, Fighter	​	4/17/2025	5/1/2025	5/6/2025
Zolong Duskblade	Zolong Duskblade	https://docs.google.com/spreadsheets/d/1dM8jz1B3DnmJ3eDO6YVzemt2jY914UeGm1Pc3FZCMPk/edit?usp=sharing		1100	Fae	High Fae	Rogue	Shadow Thief	4/17/2025	5/1/2025	5/6/2025
Sinner	"""Bunny King"" Maxis"	https://docs.google.com/spreadsheets/d/1KwsWK0RAa9kVL5hkiYMXg7nCt1c6gyDL/edit?usp=sharing&ouid=107001843366624612417&rtpof=true&sd=true		1505	Chimera	Rabbitfolk	Acolyte	Battle Mage, Bloodbinder			
Maunomau (Noar)	Noar	https://docs.google.com/spreadsheets/d/1v2_6uqWeUTcHBC1oJO93m_gBl_2upLw7/edit?usp=sharing&ouid=100349875529504309833&rtpof=true&sd=true		1400	Human-Chimera	Dogfolk	Fighter	Bard, Shield Paladin	4/12/2025	4/19/2025	
Alaric Windhill (Taikanarri)	Alaric Windill	https://docs.google.com/spreadsheets/d/1dsOFX7YBZvpinXpqAdO3HBAWW1rzeVtd/edit?usp=sharing&ouid=100411381291678387259&rtpof=true&sd=true		1440	Human	Divine Protection	​	Windbringer, Sword Paladin, Battle Mage	4/17/2025	5/8/2025	5/13/2025
Emperor Jerod	Kuzo Yorita	https://docs.google.com/spreadsheets/d/1oTxvH4UBKkpGUzOdmzKU4UfQpDOmSd0x/edit?gid=294044971#gid=294044971		1000	Youkai	Ancient Marionette	Mage, Alchemist, Acolyte	​			
Vajra (mightygerm)	Vajra	https://docs.google.com/spreadsheets/d/1NQzLD5E7GzUlz7VdABewLZofzPMX-eDP/edit?gid=1997331408#gid=1997331408		1000	Youkai	Raijin	​	Electromancer, Battle Mage	4/10/2025	5/6/2025	
Garael Blanchweyld (PeasantKyr)	Garael Blanchweyld	https://docs.google.com/spreadsheets/d/1nZ3btPk5dfXlVl5e3_zzblg7Lsr-OVRuvpPnPq_V5Os/edit?gid=1997331408#gid=1997331408		1325	Fae	Dullahan	Fighter	Shieldwarden	4/17/2025	5/8/2025	5/13/2025
Lunatic | Roslyn Reinhardt	"Roslyn Reinhardt ""Ros"""	https://docs.google.com/spreadsheets/d/1Uzbpc6dqLzqya-VzJZ_ZRIlifiKnHg_X/edit?usp=sharing&ouid=115465355942803541036&rtpof=true&sd=true		1100	Human	Divine Protection	Adventurer, Acolyte	Shield Paladin	4/12/2025	4/19/2025	
Florentino	Finia Padfoot	https://docs.google.com/spreadsheets/d/1klr4donLb3l9lepUFzkj9AiXweVofANo/edit?gid=1997331408#gid=1997331408		1290	Chimera	Catfolk	Ranger, Acolyte	​	4/17/2025	5/8/2025	5/13/2025
Draco9889	Draco Kyrios	https://docs.google.com/spreadsheets/d/1cepzK9Ozhy__mn3WwtoNaKnMKaVC7Wfx/edit?gid=1997331408#gid=1997331408		1000	Fae	Salamander	Fighter, Mage, Adventurer	​			
Aranea Kaminari (Day)	Aranea Kaminari	https://docs.google.com/spreadsheets/d/11jnau8uSoMt723ndZJG_PFR-0zS6_uIJDzwn422khQM/edit?usp=sharing		1125	Youkai	Kitsune	Mage	Electromancer			
Aoyama, Shiro (Mordivandros)	Shiro Aoyama	https://docs.google.com/spreadsheets/d/12r81xdASHuFZguOEbgDtgfGISpQapiYu/edit?usp=sharing&ouid=107540010604117561993&rtpof=true&sd=true		1225	Youkai	Yuki-onna	Martial Artist, Ranger	Cryomancer	4/17/2025	5/8/2025	5/13/2025
Aki (Mega Mike 70)	Aki Nerys	https://docs.google.com/spreadsheets/d/11ZkVW8TzmVCHvZ3IoFpzADyudch5ijkd/edit?usp=sharing&ouid=100255924412336433744&rtpof=true&sd=true		1205	Youkai	Yuki-onna	Alchemist, Mage	Cryomancer			
Hannah Suffolk (Velvet Crowe)	Hannah Suffolk	https://docs.google.com/spreadsheets/d/1lmDUJVYAb6NB_iWQEW4OpBEzzw__U1XL/edit?gid=1997331408#gid=1997331408		1300	Chimera	Dogfolk	Fighter	Guardian	4/17/2025	5/8/2025	5/13/2025
Cendarion Ordir(Claw)	Cendarion Ordir	https://docs.google.com/spreadsheets/d/1vz4dHxdcSxHs_dyPVEYEfL9U1Y7iQlvM/edit?usp=sharing&ouid=111986131275884761407&rtpof=true&sd=true		1175	Fae	Cait Sith	Rogue, Ranger, Adventurer	​			
Leaflit	Queri	https://docs.google.com/spreadsheets/d/19c19pjdoyLGabkljTglQj79zCRech6Jm/edit?gid=95407551#gid=95407551		1880	Fae	Pixie	Alchemist, Transmuter, Fighter	Alkahest	5/2/2025	5/28/2025	6/3/2025
Kuroshiro (RognarB)	Kuroshiro	https://docs.google.com/spreadsheets/d/1CD5JXclbS5LAGobaZ5ZH50mfB6KUkgZz/edit?usp=sharing&ouid=101615191085713643468&rtpof=true&sd=true		1265	Youkai	Kitsune	Rogue	Saboteur	5/1/2025	5/15/2025	5/20/2025
Gin Pakkun (ARC)	Gin Pakkun	https://docs.google.com/spreadsheets/d/1ewWCf7cuPKsBkbZ0qRiUmTVisvhHOVOS/edit?usp=sharing&ouid=114685559888350341393&rtpof=true&sd=true		1000	Chimera	Dogfolk	Cavalier, Fighter	​			
Bobo (Jack Slurpee)	Bobo	https://docs.google.com/spreadsheets/d/11m8LWzDIvC7tjDLKsoVP3YHbsQB02GP4/edit?usp=sharing&ouid=100275211249997859484&rtpof=true&sd=true		1015	Youkai	Jiangshi	Acolyte	Shieldwarden	5/1/2025	5/15/2025	5/20/2025
Daimus D' Phnom (mightygerm)	Daimus D' Phnom	https://docs.google.com/spreadsheets/d/1N46iNXUJx-7qmoa0myRIRrb-3wILMHZu/edit?usp=sharing&ouid=113614747793717102959&rtpof=true&sd=true		1565	Demon	D'	Mage, Fighter	Spellblade			
Stout (invisi)	Stout Tou	https://docs.google.com/spreadsheets/d/e/2PACX-1vTPeg_Md6bbrpoBfp512jJ1ErXOH0PExs25M4RJaZt8X_AbZqsASOFyKMg_IVEpcA/pubhtml		1210	Fae	Salamander	Acolyte	Bard			
Takeshi Satoshi (John_Softpaw)	Takeshi Satoshi	https://docs.google.com/spreadsheets/d/1FiFGUCoCIULrx9Id61xaIUwTffB9vFsnYlk-7OQuJt4/edit?usp=sharing		1100	Youkai	Oni	Martial Artist	Wave Palm Style			
BLiNX	Hiscibus	https://docs.google.com/spreadsheets/d/1bQrCg3ZjG_NGqM-wYGlnMuU9x6LNPu_I/edit?usp=sharing&ouid=112753295979445814324&rtpof=true&sd=true		1050	Fae	Dullahan	Adventurer, Fighter	Shield Paladin			
Ryugo	Tenshi Mura	https://docs.google.com/spreadsheets/d/1XWNItf7QhLjTCqW2ftEfiMAoHOduKmGn/edit?gid=1997331408#gid=1997331408		1050	Youkai	Jiangshi	Adventurer	Iaido Style			
Synric	Synric Er'Ceidryn	https://docs.google.com/spreadsheets/d/1lFMEgace6mJBoo4_4kk3VQ29anUbeF5o/edit?gid=1997331408#gid=1997331408		1150	Fae	Salamander	Mage, Martial Artist, Ranger	Spellblade			
Morialis_	Mori Shinsaka	https://docs.google.com/spreadsheets/d/1oyMacgT54LZW6q2Qdw77mDZ2ck3iceOi_ChdZuJwAXQ/edit?gid=1562682898#gid=1562682898		1125	Youkai	Kitsune	Rogue	Time Thief			
takurov	Vadi Strongholm	https://docs.google.com/spreadsheets/d/1wrfi_7e-tZwHI7Ux2i6GKFE8HRE97tps/edit?gid=1997331408#gid=1997331408		1225	Human	​	Fighter	Sword Paladin			
Jckun	Teo	https://docs.google.com/spreadsheets/d/1orgtsOZfprIB236XpMkM0uHXbWU8PsbG/edit?gid=1997331408#gid=1997331408		900	Fae	Dullahan	Cavalier	​			
Mr Carter	Nicholas Vi Morrow	https://docs.google.com/spreadsheets/d/1hywxBMNzGJZPsD9GNDZCYdnW1Nz-gFKF/edit?gid=1997331408#gid=1997331408		1065	Demon	Vi	Alchemist	Alchemeister			
Ayra	Rin	https://docs.google.com/spreadsheets/d/1okJw7brAsfytu9NNQLiPwDz5iQEoDJH0/edit?gid=1997331408#gid=1997331408		950	Youkai	Tengu	Farmer	​			
